,word,count
93,키보드,3.0
93,지가,2.0
93,핸드폰,3.0
93,타자,2.0
93,칭찬,2.0
93,주라,2.0
93,인성,2.0
93,문제,2.0
93,악플러들,4.0
93,개인,2.0
93,개인주의야,5.0
93,주의,2.0
93,자기,2.0
94,자랑,2.0
94,다이,2.0
94,마이트,3.0
94,보드,2.0
94,진심,2.0
94,축하,2.0
94,축하해,3.0
94,정국,2.0
94,생일,2.0
94,최고,2.0
94,선물,2.0
95,자랑,2.0
95,역사적,3.0
95,감사,2.0
96,어디,2.0
96,거지,2.0
97,군면제,3.0
97,면제,2.0
98,군면제,3.0
98,면제,2.0
98,거지,2.0
98,국위,2.0
98,국위선양국위선양,8.0
98,선양,2.0
98,외화,2.0
98,외화획득,4.0
98,획득,2.0
98,스포츠,3.0
98,생각,2.0
98,국회의원,4.0
98,대통령,3.0
98,고위,2.0
98,고위공직자,5.0
98,공직자,3.0
98,사회,2.0
98,사회지도층,5.0
98,지도층,3.0
98,인사,2.0
98,태권도,3.0
98,금메달,3.0
98,하나,2.0
98,참고,2.0
98,아들,2.0
99,군입대,3.0
99,입대,2.0
99,연기,2.0
101,군면제얘기,5.0
101,면제,2.0
101,얘기,2.0
101,가실,2.0
101,독도,2.0
101,수비대,3.0
101,감사,2.0
102,데뷔,2.0
102,데뷔때,3.0
102,그대,2.0
102,선물,2.0
102,생각,2.0
102,수고,2.0
102,감사,2.0
102,감사해,3.0
102,정국,2.0
102,정국이의,4.0
102,이의,2.0
102,생일,2.0
102,기분,2.0
104,진심,2.0
104,경사,2.0
105,아침,2.0
105,기분,2.0
105,뉴스,2.0
105,자랑,2.0
106,보드,2.0
106,위라니,3.0
106,라니,2.0
106,축하,2.0
106,꽃길,2.0
106,걷쟈,2.0
106,만큼,2.0
106,우시국,3.0
106,시국,2.0
106,행복,2.0
106,선물,2.0
106,최고,2.0
107,사고,2.0
107,마라,2.0
108,군면제,3.0
108,면제,2.0
108,결정,2.0
108,국가,2.0
108,국가대표,4.0
108,대표,2.0
108,위상를,3.0
108,상를,2.0
108,드높힘,3.0
108,해주고,3.0
108,주고,2.0
108,수익,2.0
108,절반,2.0
108,기부,2.0
108,기부체납,4.0
108,체납,2.0
108,실제적,3.0
108,청년,2.0
108,지원,2.0
108,바람,2.0
109,인정,2.0
110,축하,2.0
110,자랑,2.0
110,대한,2.0
110,대한민국,4.0
110,민국,2.0
110,보이,2.0
110,보이밴드중,5.0
110,밴드,2.0
110,역사상,3.0
110,사상,2.0
110,번째,2.0
110,보드,2.0
110,진입,2.0
110,발매,2.0
110,위로,2.0
110,등극한,3.0
110,극한,2.0
110,보이밴드,4.0
111,군면제,3.0
111,면제,2.0
111,최고,2.0
111,국위,2.0
111,국위선양,4.0
111,선양,2.0
113,축하,2.0
113,축하해,3.0
113,자랑,2.0
114,전설,2.0
115,신곡,2.0
115,나이스,3.0
115,노래,2.0
116,의미,2.0
116,담주,2.0
116,폭락,2.0
117,최고,2.0
117,고생,2.0
117,축하,2.0
118,외교,2.0
118,문재인,3.0
118,재인,2.0
118,강경,2.0
118,실질적,3.0
119,문재앙,3.0
119,재앙,2.0
119,정수기,3.0
119,수기,2.0
119,얼굴,2.0
120,국운,2.0
120,대운,2.0
120,상승,2.0
120,의사,2.0
120,정신,2.0
121,니들,2.0
121,최고,2.0
121,군면제면제,5.0
121,면제,2.0
122,행복,2.0
122,하자,2.0
123,최고,2.0
124,사람,2.0
124,꼬라지,3.0
124,축하,2.0
124,망정,2.0
124,노래,2.0
124,열등감,3.0
124,축하해,3.0
124,자랑,2.0
125,덤핑,2.0
125,반값,2.0
125,세일,2.0
126,축하,2.0
126,우리,2.0
126,보물,2.0
126,대한,2.0
126,대한민국,4.0
126,민국,2.0
126,미국,2.0
126,애국자,3.0
126,홍보도,3.0
126,보도,2.0
126,코로나,3.0
126,관광객,3.0
126,유도,2.0
126,자랑,2.0
126,정치,2.0
126,친구,2.0
126,보드,2.0
126,챠드,2.0
126,넘버원,3.0
127,세상,2.0
127,본고장,3.0
127,대한,2.0
127,대한민국,4.0
127,민국,2.0
127,보드,2.0
127,싱글,2.0
127,싱글차트,4.0
127,차트,2.0
128,문대통령,4.0
128,대통령,3.0
128,감사,2.0
129,역대,2.0
129,역대급인건,5.0
129,인건,2.0
129,속보,2.0
130,축하,2.0
130,국방,2.0
130,국방의무,4.0
130,의무,2.0
130,이행,2.0
130,우리,2.0
130,대한,2.0
130,대한민국,4.0
130,민국,2.0
130,대한민국를,5.0
130,국를,2.0
130,세계,2.0
130,큰일,2.0
130,사람,2.0
130,군면제,3.0
130,면제,2.0
130,중단,2.0
132,최고,2.0
132,군면제,3.0
132,면제,2.0
132,무엇,2.0
132,일등,2.0
132,국내,2.0
132,클래식,3.0
132,콩쿨,2.0
135,얘네,2.0
135,군면제,3.0
135,면제,2.0
135,말자,2.0
135,인간적,3.0
135,문화적,3.0
135,국위,2.0
135,양국,2.0
135,양국위선양선양,7.0
135,선양,2.0
135,경제적,3.0
135,경제적가치,5.0
135,가치,2.0
135,인정,2.0
135,사주,2.0
135,사주기초훈련,6.0
135,기초,2.0
135,훈련,2.0
136,군면제,3.0
136,면제,2.0
136,댓글,2.0
136,등판,2.0
137,보드,2.0
137,축하,2.0
137,결과,2.0
137,이루,2.0
137,이제,2.0
137,다음,2.0
137,앨범,2.0
137,기대,2.0
137,정국,2.0
137,생일,2.0
137,선물,2.0
137,자랑,2.0
137,자랑럽,3.0
138,군면제,3.0
138,면제,2.0
139,내고,2.0
139,국가,2.0
139,국위,2.0
139,국위선양국위선양,8.0
139,선양,2.0
139,만큼,2.0
139,군면제,3.0
139,면제,2.0
139,시스템,3.0
139,최초,2.0
139,진행,2.0
140,걸그룹,3.0
140,그룹,2.0
140,보이,2.0
140,보이그룹,4.0
140,인기,2.0
141,코로나,3.0
141,일상,2.0
141,희망,2.0
141,노래,2.0
143,자랑,2.0
144,자랑,2.0
145,코로나,3.0
145,시대,2.0
145,힐링,2.0
145,군면제,3.0
145,면제,2.0
146,노래,2.0
147,대한,2.0
147,대한민국,4.0
147,민국,2.0
147,보드,2.0
147,싱글,2.0
147,국위선양국위,6.0
147,위선,2.0
147,양국,2.0
147,선양,2.0
147,선양선양,4.0
147,최고,2.0
148,최고,2.0
149,국뽕,2.0
150,자랑,2.0
151,응원,2.0
152,문프,2.0
152,이것,2.0
153,코로나,3.0
153,고통,2.0
153,고통속,3.0
153,국민,2.0
153,소식,2.0
153,감사,2.0
154,위상과,3.0
154,상과,2.0
154,월드,2.0
154,월드그룹밴드,6.0
154,그룹,2.0
154,밴드,2.0
154,축하,2.0
155,너희,2.0
155,대한,2.0
155,대한민국,4.0
155,민국,2.0
155,자랑,2.0
156,가슴,2.0
156,위라니,3.0
156,라니,2.0
156,인기,2.0
157,최고,2.0
157,단하,2.0
157,보드,2.0
157,위라니,3.0
157,라니,2.0
158,고생,2.0
158,박수,2.0
159,축하,2.0
160,최고,2.0
160,위라니,3.0
160,라니,2.0
162,국위,2.0
162,국위선양국위선양,8.0
162,선양,2.0
162,군면제,3.0
162,면제,2.0
164,문통,2.0
165,오랜만,3.0
165,뉴스,2.0
167,노래,2.0
168,자랑,2.0
170,작곡과,3.0
170,여건,2.0
170,여건등,3.0
170,일루,2.0
170,일루미,3.0
170,도움,2.0
170,불가능,3.0
170,마지막,3.0
170,조짐,2.0
170,조짐중,3.0
170,하나,2.0
171,노래,2.0
171,자랑,2.0
172,정도,2.0
172,외교,2.0
172,어줍짢,3.0
172,양복,2.0
172,꼰대,2.0
172,얼굴,2.0
172,악수,2.0
172,어른,2.0
172,이면,2.0
172,게임,2.0
173,이것,2.0
173,대한,2.0
173,대한민국,4.0
173,민국,2.0
174,군면제,3.0
174,면제,2.0
174,독도,2.0
174,경비대,3.0
174,국익,2.0
174,도움,2.0
175,초심,2.0
175,정상,2.0
175,그룹,2.0
176,보드,2.0
176,군면제,3.0
176,면제,2.0
176,제어,2.0
176,제어때,3.0
177,친구,2.0
177,군면제,3.0
177,면제,2.0
177,년기간,3.0
177,기간,2.0
177,손실,2.0
177,지금,2.0
177,계속,2.0
177,활동,2.0
177,가도,2.0
177,진심,2.0
177,세계,2.0
177,세계시장,4.0
177,시장,2.0
177,승승장구,4.0
177,방법,2.0
178,국위선양국위,6.0
178,위선,2.0
178,양국,2.0
178,선양,2.0
178,선양선양,4.0
178,군면제,3.0
178,면제,2.0
179,내가,2.0
179,최고,2.0
179,인정,2.0
180,코로나,3.0
180,코로나때문,5.0
180,때문,2.0
180,소식,2.0
181,노래,2.0
182,내가,2.0
182,최고,2.0
182,저번,2.0
182,얘들,2.0
182,대한,2.0
182,대한민국,4.0
182,민국,2.0
182,최초,2.0
182,보드,2.0
182,시기,2.0
183,우리,2.0
183,보드,2.0
183,엊그제,3.0
183,위라니,3.0
183,라니,2.0
183,자랑,2.0
183,단하,2.0
183,축하,2.0
184,축하,2.0
184,새벽,2.0
184,얘기,2.0
184,오늘,2.0
184,생각,2.0
185,얘들,2.0
185,보믄,2.0
185,크라스,3.0
186,자랑,2.0
186,최고,2.0
187,진심,2.0
187,축하,2.0
187,아미,2.0
187,성과,2.0
187,국격과,3.0
187,격과,2.0
187,브랜드,3.0
187,평판,2.0
187,상승,2.0
187,때문,2.0
187,찬송,2.0
187,하다,2.0
188,온몸,2.0
188,소름,2.0
189,우리,2.0
189,축하,2.0
190,최고,2.0
190,이성,2.0
190,주간,2.0
190,이것,2.0
191,판국,2.0
191,예전,2.0
191,마이클,3.0
191,마이클잭,4.0
191,비틀즈,3.0
191,시대,2.0
191,시대때,3.0
191,결론,2.0
192,국위,2.0
192,양국,2.0
192,양국위선양선양,7.0
192,선양,2.0
192,군면제,3.0
192,면제,2.0
192,이의,2.0
192,사람,2.0
193,최고,2.0
193,세계,2.0
193,정작,2.0
193,국내,2.0
193,뽕짝,2.0
193,주구장창,4.0
193,구장,2.0
194,대한,2.0
194,대한민국,4.0
194,민국,2.0
194,유일한,3.0
194,뉴스,2.0
195,최근,2.0
195,노래,2.0
196,아마,2.0
196,자랑,2.0
196,으헝,2.0
196,으헝헝헝,4.0
196,헝헝,2.0
197,최고,2.0
197,국위,2.0
197,국위선양국위선양,8.0
197,선양,2.0
198,부르노마스,5.0
198,르노,2.0
198,마스,2.0
198,노래,2.0
199,이해,2.0
199,얘네들,3.0
199,지구,2.0
199,도움,2.0
199,사람,2.0
199,논밭,2.0
199,곡식,2.0
199,아이,2.0
199,아이돌,3.0
199,연예인,3.0
199,존재,2.0
200,축하,2.0
200,축하해,3.0
201,축하,2.0
201,현실,2.0
202,결국,2.0
203,최고,2.0
203,자랑,2.0
203,사랑,2.0
204,축하,2.0
204,축하해,3.0
204,소식,2.0
204,요즘,2.0
204,기분,2.0
204,추카추카,4.0
206,국개의원,4.0
206,의원,2.0
